x,y,existing_z_m,design_z_m,cut_fill_m,field_zone
1026.865,953.526,115.868,103.85352634714984,12.014473652850157,Heavy Cut > 2.0 m
1027.865,953.526,115.868,103.65514494072116,12.212855059278837,Heavy Cut > 2.0 m
1028.865,953.526,111.857,103.62346316539305,8.233536834606952,Heavy Cut > 2.0 m
1029.865,953.526,111.857,103.62157544150261,8.235424558497385,Heavy Cut > 2.0 m
1030.865,953.526,111.857,103.61698465173504,8.240015348264961,Heavy Cut > 2.0 m
1031.865,953.526,111.857,103.60364738026315,8.253352619736845,Heavy Cut > 2.0 m
1032.865,953.526,111.857,103.58311956084441,8.27388043915559,Heavy Cut > 2.0 m
1033.865,953.526,111.857,103.56470637423692,8.29229362576308,Heavy Cut > 2.0 m
1034.865,953.526,111.857,103.55594179245634,8.301058207543662,Heavy Cut > 2.0 m
1035.865,953.526,111.857,103.55780784920694,8.299192150793061,Heavy Cut > 2.0 m
1036.865,953.526,108.608,103.56697199972805,5.04102800027195,Heavy Cut > 2.0 m
1037.865,953.526,108.608,103.57831704062325,5.029682959376757,Heavy Cut > 2.0 m
1038.865,953.526,108.608,103.58808759928579,5.019912400714219,Heavy Cut > 2.0 m
1039.865,953.526,108.608,103.59372693131519,5.014273068684815,Heavy Cut > 2.0 m
1040.865,953.526,108.608,103.59539392319547,5.012606076804531,Heavy Cut > 2.0 m
1041.865,953.526,108.608,103.59543357943909,5.0125664205609155,Heavy Cut > 2.0 m
1004.865,954.526,120.20843842060086,105.67812196167884,14.530316458922016,Heavy Cut > 2.0 m
1005.865,954.526,121.17121072550466,106.06458897107294,15.106621754431728,Heavy Cut > 2.0 m
1006.865,954.526,120.70536492327591,106.31606452973335,14.389300393542555,Heavy Cut > 2.0 m
1007.865,954.526,120.23951912104715,106.43777184013508,13.801747280912068,Heavy Cut > 2.0 m
1008.865,954.526,119.78118395990373,106.4939426987138,13.287241261189934,Heavy Cut > 2.0 m
