peg_id,point_type,chainage_m,x,y,existing_z_m,design_z_m,cut_fill_m
Gabion_Toe_CH047,Gabion_Toe,47.95103299504769,1024.9651647580044,983.048361508409,,,
Gabion_Toe_CH048,Gabion_Toe,48.45084473701581,1025.3271288423327,982.7036967741157,,,
Gabion_Toe_CH048,Gabion_Toe,48.95070146374524,1025.671397481076,982.3412938883178,,,
Gabion_Toe_CH049,Gabion_Toe,49.450597065116725,1026.0017064106216,981.9660717896444,,,
Gabion_Toe_CH049,Gabion_Toe,49.95051730371834,1026.3248116922578,981.584596728936,,,
Gabion_Toe_CH050,Gabion_Toe,50.45042335782685,1026.6525302409168,981.2070962444342,,,
Gabion_Toe_CH050,Gabion_Toe,50.95025792488332,1026.997379965181,980.8452768667062,,,
Gabion_Toe_CH051,Gabion_Toe,51.4499340276287,1027.370188990072,980.5125763427892,,,
Gabion_Toe_CH051,Gabion_Toe,51.9495316051108,1027.77565020776,980.2206877675128,,,
Gabion_Toe_CH052,Gabion_Toe,52.44927003069631,1028.2053660494896,979.9655744801807,,,
Gabion_Toe_CH052,Gabion_Toe,52.94911939190219,1028.649584803131,979.7364040571082,,,
Gabion_Toe_CH053,Gabion_Toe,53.44902659067683,1029.1014524164357,979.5225749958632,,,
Gabion_Toe_CH053,Gabion_Toe,53.94894742260389,1029.555866271716,979.3141790114396,,,
Gabion_Toe_CH054,Gabion_Toe,54.44885878814101,1030.008088001526,979.101090108676,,,
Gabion_Toe_CH054,Gabion_Toe,54.94876694092641,1030.4559608732986,978.8790134283348,,,
Gabion_Toe_CH055,Gabion_Toe,55.44868174816512,1030.900178287336,978.6496976993444,,,
Gabion_Toe_CH055,Gabion_Toe,55.948601101792775,1031.341870297524,978.4155449110464,,,
Gabion_Toe_CH056,Gabion_Toe,56.44852185065588,1031.7822680307677,978.1789638642616,,,
Gabion_Toe_CH056,Gabion_Toe,56.94844235114449,1032.222820196952,977.942671046599,,,
Gabion_Toe_CH057,Gabion_Toe,57.44836027031919,1032.6648392317366,977.709139252618,,,
Gabion_Toe_CH057,Gabion_Toe,57.94827372644901,1033.1096168425352,977.4809149319332,,,
Gabion_Toe_CH058,Gabion_Toe,58.44818466965968,1033.5584025599142,977.2606824842368,,,
Gabion_Toe_CH058,Gabion_Toe,58.94809090825309,1034.012607296958,977.0518660475478,,,
Gabion_Toe_CH059,Gabion_Toe,59.44797096915407,1034.473376753198,976.8580321405996,,,
Gabion_Toe_CH059,Gabion_Toe,59.9477232709661,1034.9440669415155,976.6900943253584,,,
Gabion_Toe_CH060,Gabion_Toe,60.44725785961749,1035.4276896204074,976.5650187093472,,,
Gabion_Toe_CH060,Gabion_Toe,60.94704508273976,1035.921270124981,976.486497668211,,,
Gabion_Toe_CH061,Gabion_Toe,61.44683646560488,1036.4151636490465,976.4099430258148,,,
Gabion_Toe_CH061,Gabion_Toe,61.9455556147006,1036.8912664665563,976.2614610510376,,,
Gabion_Toe_CH062,Gabion_Toe,62.444172510254,1037.3083119298778,975.9881628804357,,,
