id,y,x,z,type,dist
62,1003.254,994.812,100.527,P,44.33406082235192
63,1006.815,992.47,100.319,P,48.230122185207044
64,1010.314,989.179,100.555,P,52.8580527639829
65,1011.652,989.471,100.547,P,53.404112519542934
66,1009.001,991.34,100.347,P,50.38214336448972
67,1006.896,993.475,100.202,P,47.471801156054696
68,1003.741,995.536,100.018,P,44.066094914344326
69,1000.695,997.621,99.756,P,40.77377174115737
70,997.574,1002.931,99.807,P,34.71793896532448
71,994.448,1008.23,99.825,P,28.721018592661338
72,991.18,1013.919,99.857,P,22.41656641861102
73,987.997,1019.425,99.872,P,16.503473513172928
74,984.141,1026.037,99.899,P,10.124007655074113
75,981.403,1030.606,99.995,P,7.230775200488537
76,978.733,1035.312,99.976,P,7.818587404384476
77,976.686,1038.816,99.891,P,10.350393857240423
78,969.826,1040.568,105.631,P,13.368833195159525
79,974.39,1036.287,105.07,P,7.310170244255631
80,975.755,1032.941,105.224,P,4.6922853706909144
81,975.709,1031.179,105.442,P,4.6439278633501795
82,977.493,1027.166,105.653,P,5.623989153616857
84,977.718,1023.606,106.767,P,8.725141202295806
85,976.006,1022.497,108.245,P,10.415217232492108
86,975.654,1019.968,109.388,P,13.048237582141137
87,975.154,1016.681,110.247,P,16.42659690867217
88,975.029,1015.757,111.807,P,17.691401838181196
89,976.379,1014.408,111.568,P,18.567857954002086
90,977.813,1012.492,111.043,P,20.074020075709818
91,979.912,1009.474,110.442,P,22.815079311718314
92,981.74,1008.011,110.392,P,24.31538288820476
93,982.759,1005.87,110.314,P,26.507378538814415
94,983.803,1004.825,109.646,P,27.588902297844268
95,985.599,1003.581,108.813,P,29.040880341339495
96,986.867,1000.467,109.052,P,32.35570462839589
97,988.19,998.836,109.452,P,34.26640862419053
98,989.689,996.979,109.37,P,36.43099836677545
99,992.05,994.939,108.307,P,39.00721612727574
100,992.866,993.806,107.876,P,40.326008828050355
101,995.097,993.223,107.04,P,41.623686021302845
102,996.021,993.167,106.673,P,42.019808888189814
103,997.04,992.346,106.777,P,43.171015797639015
104,996.722,991.187,107.421,DN,44.11929888382178
105,998.283,990.33,106.619,DN,45.51596236486708
106,999.216,989.601,106.565,DN,46.5618535069213
107,1001.381,988.946,105.985,DN,48.0894273411526
108,998.374,988.929,106.655,DN,46.83791863437147
109,995.448,990.819,107.582,DN,43.99937509783521
110,992.439,992.711,108.349,DN,41.24786349618604
111,989.651,994.05,109.644,DN,39.26492960645672
112,994.974,987.926,108.103,P,46.57501863660385
113,990.654,990.187,109.784,P,43.25636832883683
114,986.786,992.069,111.286,P,40.751221490895226
115,982.129,996.508,113.155,P,36.111660859063186
116,976.777,997.823,115.861,P,35.487431282075065
117,972.456,999.764,117.245,P,34.693668831647045
118,967.97,1001.711,117.884,P,34.40044094194138
119,973.83,1001.988,115.272,P,31.77251655125849
120,975.506,1000.943,115.092,DN,32.44145941538389
121,977.109,1000.008,115.014,DN,33.14015933878406
122,978.149,999.854,114.626,DN,33.12209493676383
123,981.088,999.072,113.31,DN,33.57321742103367
124,983.224,998.697,112.164,DN,33.88028543268192
125,985.972,996.439,110.833,DN,36.2837643306204
126,988.764,994.938,109.709,P,38.19874789832777
127,992.526,992.81,108.192,P,41.174830904327976
128,994.893,991.266,107.677,P,43.38920573137981
129,997.111,989.776,107.638,P,45.57555442339679
130,992.2,994.038,108.311,P,39.91036262676649
131,989.229,995.571,109.646,P,37.69089675239895
132,986.446,997.148,110.717,P,35.658661626594984
133,984.351,998.808,111.409,P,33.7887138849646
134,983.561,999.44,111.902,P,33.14388910493148
135,980.785,1000.161,113.272,P,32.48921036282665
136,978.177,1000.771,114.524,P,32.20655408453381
137,975.475,1001.973,115.09,P,31.46011497118218
138,974.275,1001.54,115.179,P,32.08974705416048
9003,965.783,1011.75,115.309,RP,26.14264619352827
141,967.378,1011.254,114.918,P,25.583900093613504
142,969.309,1008.906,115.272,P,26.799966436546182
143,971.402,1006.236,115.223,P,28.417021466015722
144,973.066,1005.629,115.222,P,28.51787125645947
145,974.274,1004.175,115.225,P,29.61141952017838
146,978.222,1000.806,114.427,P,32.14735026405748
147,976.616,1004.163,114.688,P,29.11144635706028
148,974.359,1006.191,114.339,P,27.45508118727746
149,973.041,1008.476,114.121,P,25.58221292226296
150,970.504,1010.71,114.039,P,24.3910696157425
151,973.378,1011.056,113.396,P,22.91629062479346
152,981.544,981.865,112.69,P,50.50538784129865
153,977.44,1007.462,112.073,P,25.218978825479812
154,979.499,1005.58,111.417,P,26.8197526088515
155,978.619,1005.013,112.902,ROCK,27.690560738273195
156,979.584,1001.82,113.369,ROCK,30.877721046087515
157,986.166,997.406,110.595,ROCK,35.34385854713663
158,985.937,1000.261,109.603,ROCK,32.41424654376531
159,985.218,1001.241,109.486,ROCK,31.317684157676787
160,982.544,1002.038,110.804,ROCK,30.333879013406747
161,981.076,1004.945,111.306,ROCK,27.443496442691053
162,979.985,1005.358,111.044,ROCK,26.974512136459516
164,984.795,1024.323,99.951,ROCK,11.446852624193175
165,983.379,1026.215,100.057,ROCK,9.617398556782442
166,982.225,1026.807,100.008,ROCK,8.957050742292349
167,981.042,1026.664,100.724,ROCK,8.276128080207558
168,980.326,1026.03,101.069,ROCK,8.39999386904539
169,981.268,1023.348,101.701,ROCK,10.213377942678939
170,980.5,1021.032,102.593,ROCK,11.83004619602133
